Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Wilder, Linnea Lorene",SP21,ANBI 143 - The Human Skeleton (A),100.0%,92.3%,3.73,A- (3.78)
"Deniz, Dilsa",SP21,ANSC 100 - Spec Top/Socio-Cultural Anthro (A),100.0%,100.0%,5.17,N/A
"Yeh, Rihan Wen Xin",SP21,ANSC 104 - The US-Mexico Border (A),100.0%,100.0%,4.30,B (3.02)
"Hicks, Rachel Dorlene Emerine",SP21,ANSC 118 - Language and Culture (A),100.0%,100.0%,6.21,B+ (3.56)
"Stewart, Alexander B",SP21,ANSC 137 - Chinese Popular Religion (A),90.5%,95.2%,4.31,B (3.29)
"Postero, Nancy Grey",SP21,ANSC 140 - Human Rights II: Contemp Issue (A),100.0%,100.0%,3.77,B+ (3.32)
"Berman, Michael David",SP21,"ANSC 141 - Language, Politics & Identity (A)",100.0%,100.0%,2.65,A- (3.78)
"Kennemore, Amy Michelle",SP21,ANSC 142 - Anthropology of Latin America (A),100.0%,100.0%,4.97,A (4.00)
"Stewart, Alexander B",SP21,ANSC 147 - Global Health and Environment (A),100.0%,100.0%,5.13,A- (3.77)
"Hannah, Seth Donal",SP21,ANSC 148 - Global Health&Cultrl Diversity (A),96.0%,100.0%,4.18,A- (3.90)
"Olivas Hernandez, Olga Lid",SP21,ANSC 150 - Culture and Mental Health (A),84.6%,91.7%,4.50,A- (3.96)
"Fortier, Jana",SP21,ANSC 165 - Contemporary South Asia (A),90.0%,77.8%,4.90,N/A
"Parish, Steven Martin",SP21,ANSC 183 - Visualizing the Human (A),100.0%,100.0%,3.50,N/A
"Garth, Hanna Fitzmaurice",SP21,ANSC 185 - #BlackLivesMatter (A),100.0%,100.0%,3.00,N/A
"Jassal, Aftab",SP21,ANSC 190 - Yoga Practices (A),100.0%,100.0%,4.50,B+ (3.66)
"Pedersen, David",SP21,ANSC 192 - Capitalism and Imperialism (A),100.0%,100.0%,3.83,N/A
"Brenner, Suzanne A",SP21,ANTH 103 - Sociocultural Anthropology (A),91.7%,100.0%,5.28,B+ (3.59)
"Stroth, Luke Reyneri",SP21,ANTH 106 - Climate and Civilization (A),100.0%,100.0%,4.37,B+ (3.66)
"Non, Amy L",SP21,ANTH 192 - Senior Seminar in Anthropology (A),100.0%,100.0%,0.50,N/A
"Jenkins, Janis A.",SP21,ANTH 192 - Senior Seminar in Anthropology (B),100.0%,100.0%,0.50,N/A
"Wilder, Linnea Lorene",SP21,ANTH 2 - Human Origins (A),92.6%,77.8%,3.24,B- (2.81)
"Borrero, Mario Ricardo",SP21,ANTH 21 - Race and Racisms (A),89.5%,93.4%,3.89,B+ (3.40)
"Villavicencio Miranda, Marianinna",SP21,ANTH 23 - Debating Multiculturalism (A),90.0%,100.0%,3.45,B+ (3.51)
"Stewart, Alexander B",SP21,ANTH 23 - Debating Multiculturalism (B),83.7%,95.3%,3.24,A- (3.73)
"Kaiser, Bronwyn Nicole",SP21,ANTH 25 - Research In Anthropology (A),100.0%,100.0%,2.50,N/A
"Levy, Thomas E",SP21,ANTH 3 - Global Archaeology (A),95.2%,95.2%,3.59,A- (3.70)
"Yeh, Rihan Wen Xin",SP21,ANTH 87 - Freshman Seminar (C),100.0%,100.0%,3.00,N/A
"Goldstein, Paul S",WI21,ANAR 156 - Archaeology of South America (A),100.0%,100.0%,3.07,A- (3.74)
"Declet Perez, Mariela",WI21,ANAR 159 - Societies/CaribbeanArchipelago (A),100.0%,100.0%,5.50,N/A
"Wilder, Linnea Lorene",WI21,ANBI 133 - Evolution/Ecology: Great Ape (A),100.0%,100.0%,5.36,B+ (3.37)
"Simonson, Tatum Sasha Summ",WI21,ANBI 134 - Human Evolutionary Genetics (A),100.0%,100.0%,3.39,B+ (3.61)
"Gagneux, Pascal",WI21,ANBI 139 - Evolution of Human Disease (A),98.5%,98.5%,3.50,B+ (3.63)
"Sloane, Julia Kathryn",WI21,ANSC 101 - Aging: Culture&Health/Hum Dev (A),100.0%,100.0%,3.61,B+ (3.67)
"Olivas Hernandez, Olga Lid",WI21,ANSC 106 - GH: Indig Med in Latin America (A),95.5%,95.5%,3.59,A- (3.83)
"Jassal, Aftab",WI21,ANSC 120 - Religion and Culture (A),93.3%,93.3%,5.79,B+ (3.55)
"Brenner, Suzanne A",WI21,"ANSC 125 - Gender, Sexuality, & Society (A)",96.8%,100.0%,3.79,B+ (3.68)
"Postero, Nancy Grey",WI21,ANSC 134 - Politics/Environmental Change (A),100.0%,100.0%,5.36,A- (3.87)
"Kennemore, Amy Michelle",WI21,ANSC 135 - Indigenous Peoples/Latin Amer. (A),100.0%,100.0%,7.23,B+ (3.68)
"Saravia, Paula F",WI21,ANSC 148 - Global Health&Cultrl Diversity (A),92.3%,91.7%,5.58,N/A
"Deniz, Dilsa",WI21,ANSC 153 - War in Lived Experience (A),100.0%,85.7%,4.79,N/A
"Varma, Saiba",WI21,ANSC 155 - Humanitarian Aid (A),100.0%,100.0%,4.14,A- (3.90)
"Berman, Michael David",WI21,"ANSC 162 - Language, Identity & Community (A)",100.0%,100.0%,2.82,B+ (3.58)
"Brenner, Suzanne A",WI21,ANSC 173 - Ethnography in Practice (A),100.0%,100.0%,6.10,N/A
"Pedersen, David",WI21,ANSC 175 - Beyond Capitalism (A),87.5%,87.5%,4.50,N/A
"Wu, Hua",WI21,ANTH 1 - Introduction to Culture (A),97.3%,97.3%,2.77,B+ (3.61)
"Hrvoj Mihic, Branka",WI21,ANTH 102 - Humans Are Cultural Animals (A),84.4%,93.8%,4.81,B+ (3.51)
"Parish, Steven Martin",WI21,ANTH 110 - The Climate Change Seminar (A),100.0%,80.0%,4.50,N/A
"Bialecki, Jon Anthony",WI21,ANTH 111 - Religion&Ecology/Anthropocene (A),100.0%,100.0%,5.17,N/A
"Non, Amy L",WI21,ANTH 196B - Honors Studies in Anthropology (A),100.0%,100.0%,6.50,N/A
"Kurian, Amrita Achamma",WI21,ANTH 21 - Race and Racisms (A),96.8%,96.8%,3.77,B+ (3.38)
"Stewart, Alexander B",WI21,ANTH 23 - Debating Multiculturalism (A),95.9%,95.9%,3.68,B+ (3.65)
"Stewart, Alexander B",WI21,ANTH 23 - Debating Multiculturalism (B),88.1%,100.0%,3.87,B+ (3.55)
"Varma, Saiba",WI21,ANTH 87 - Freshman Seminar (A),100.0%,100.0%,2.25,N/A
"Jones, Ian William Nasser",FA20,ANAR 120 - Documenting Climate Change (A),100.0%,100.0%,2.50,N/A
"Smith, Neil Gordon",FA20,ANAR 121 - Cyber-Archaeology (A),100.0%,100.0%,6.50,N/A
"D'Alpoim Guedes, Jade A",FA20,ANAR 146 - Feeding the World (A),100.0%,100.0%,4.00,A- (3.79)
"Fox, Patrick Keolu Ozer",FA20,ANBI 118 - Technology on the Go (A),93.3%,100.0%,2.77,A- (3.77)
"Fox, Patrick Keolu Ozer",FA20,ANBI 121 - Polynesian Navigation (A),100.0%,100.0%,2.72,N/A
"Semendeferi, Ekaterini",FA20,ANBI 136 - Human Comparative Neuroanatomy (A),66.7%,73.3%,5.17,B- (2.99)
"Gagneux, Pascal",FA20,ANBI 141 - The Evolution of Human Diet (A),100.0%,100.0%,3.75,A- (3.87)
"Hrvoj Mihic, Branka",FA20,ANBI 175 - Evidence for Early Ancestors (B),66.7%,66.7%,4.50,N/A
"Mendelsohn, Asa Lipman",FA20,ANSC 117 - Transgenderisms (A),100.0%,100.0%,3.70,N/A
"Olivas Hernandez, Olga Lid",FA20,ANSC 121 - Psychological Anthropology (A),83.3%,75.0%,3.83,A- (3.91)
"Yeh, Rihan Wen Xin",FA20,ANSC 122 - Language in Society (A),95.0%,100.0%,4.90,B (3.30)
"Bialecki, Jon Anthony",FA20,ANSC 124 - Cultural Anthropology (A),100.0%,100.0%,5.50,B+ (3.53)
"Deniz, Dilsa",FA20,ANSC 133 - Peoples&Cultures/Middle East (A),78.6%,85.7%,3.27,B+ (3.46)
"Kurian, Amrita Achamma",FA20,ANSC 144 - Immigrant and Refugee Health (A),100.0%,100.0%,4.42,A- (3.74)
"Varma, Saiba",FA20,ANSC 148 - Global Health&Cultrl Diversity (A),90.9%,90.9%,6.50,N/A
"Stewart, Alexander B",FA20,ANSC 164 - Intro to Medical Anthropology (A),96.9%,93.8%,5.75,A- (3.73)
"Whitley, Leila Marie",FA20,ANSC 180 - Capitalism & Gender (A),100.0%,100.0%,4.17,A- (3.88)
"Whitley, Leila Marie",FA20,ANSC 186 - Gender and Incarceration (A),100.0%,100.0%,4.50,N/A
"Goldstein, Paul S",FA20,ANTH 101 - Foundations/Social Complexity (A),81.3%,100.0%,2.63,A- (3.70)
"Goldstein, Paul S",FA20,ANTH 101 - Foundations/Social Complexity (B),100.0%,100.0%,4.81,B+ (3.64)
"Goldstein, Paul S",FA20,ANTH 101 - Foundations/Social Complexity (C),100.0%,100.0%,6.17,N/A
"Jones, Ian William Nasser",FA20,"ANTH 105 - Climate Change, Race,& Inequal (A)",100.0%,100.0%,4.61,B+ (3.31)
"Hrvoj Mihic, Branka",FA20,ANTH 2 - Human Origins (A),95.9%,97.9%,3.97,B (3.10)
"Kennemore, Amy Michelle",FA20,ANTH 21 - Race and Racisms (A),92.2%,95.3%,5.08,A- (3.85)
"Kang, Byung Chu",FA20,ANTH 21 - Race and Racisms (B),98.0%,96.5%,3.95,B+ (3.65)
"Stewart, Alexander B",FA20,ANTH 23 - Debating Multiculturalism (A),91.8%,98.9%,4.01,A- (3.74)
"Berman, Michael David",FA20,ANTH 23 - Debating Multiculturalism (B),97.9%,100.0%,3.17,A- (3.90)
"Varma, Saiba",FA20,ANTH 87 - Freshman Seminar (A),100.0%,100.0%,0.90,N/A
"Alexandrov, Ludmil B",SP23,BENG 100 - Intro to Prob & Stats for BENG (A),61.5%,86.2%,6.56,B (3.03)
"Fraley, Stephanie I.",SP23,BENG 103B - Bioengineering Mass Transfer (A),75.0%,94.0%,8.60,B (3.09)
"Shi, Lingyan",SP23,BENG 112B - Fluid and Cell Biomechanics (A),84.2%,71.1%,5.24,B (3.21)
"Hasty, Jeff M",SP23,BENG 125 - Modeling & Computatio/Bioengr (A),88.9%,80.6%,4.27,B+ (3.46)
"Cabrales, Pedro",SP23,BENG 140B - Bioengineering Physiology (A),80.4%,82.6%,6.88,B (3.25)
"Cabrales, Pedro",SP23,BENG 172 - Bioengineering Laboratory (A),75.0%,100.0%,8.02,B+ (3.62)
"Omens, Jeffrey Howard",SP23,BENG 172 - Bioengineering Laboratory (A),75.0%,94.1%,8.02,B+ (3.62)
"Bafna, Vineet",SP23,BENG 182 - Biological Databases (A),71.4%,85.7%,4.79,B (3.22)
"Omens, Jeffrey Howard",SP23,BENG 87 - Freshman Seminar (A),83.3%,100.0%,1.83,N/A
"Sah, Robert Lie-Yuan",WI23,BENG 1 - Introduction to Bioengineering (A),69.4%,76.5%,3.17,N/A
"Valdez-Jasso, Daniela",WI23,BENG 112A - Soft Tissue Biomechanics (A),81.0%,100.0%,6.69,B- (2.86)
"Taylor Amos, Alyssa C",WI23,BENG 119B - Design Implmntatn Biomechanics (A),100.0%,100.0%,6.10,A- (3.87)
"Wheeler, Bruce Christopher",WI23,BENG 119B - Design Implmntatn Biomechanics (A),100.0%,100.0%,6.10,A- (3.87)
"Huang, Xiaohua",WI23,BENG 120 - Org Chem-Structural & Design (A),68.0%,64.0%,4.82,B+ (3.66)
"Palsson, Bernhard O.",WI23,BENG 123 - Dynamic Simulatn in Bioeng (A),65.5%,72.4%,9.88,B- (2.97)
"Silva, Gabriel",WI23,BENG 130 - Biotech Thermodynamics & Kinet (A),42.6%,28.4%,5.35,C+ (2.63)
"Silva, Gabriel",WI23,BENG 140A - Bioengineering Physiology (A),85.3%,82.4%,4.91,B+ (3.55)
"Taylor Amos, Alyssa C",WI23,BENG 152 - BioSystems Engineering Lab (A),88.9%,66.7%,8.30,A- (3.77)
"Wheeler, Bruce Christopher",WI23,BENG 152 - BioSystems Engineering Lab (A),88.9%,100.0%,8.30,A- (3.77)
"Huang, Xiaohua",WI23,BENG 161B - Biochemical Engineering (A),60.0%,55.6%,7.30,B+ (3.50)
"Shi, Lingyan",WI23,BENG 168 - Biomolecular Engineering (A),65.6%,50.0%,5.31,B+ (3.55)
"Taylor Amos, Alyssa C",WI23,BENG 179B - Design Implmnt Bioinstrumntatn (A),83.3%,83.3%,10.83,B+ (3.59)
"Wheeler, Bruce Christopher",WI23,BENG 179B - Design Implmnt Bioinstrumntatn (A),83.3%,83.3%,10.83,B+ (3.59)
"Pevzner, Pavel Arkadjevich",WI23,BENG 181 - Molecular Sequence Analysis (A),69.2%,76.9%,17.50,B+ (3.53)
"Cauwenberghs, Gert",WI23,BENG 186B - Princpls/Bioinstrumentatn Desn (A),78.3%,78.3%,9.20,B+ (3.45)
"Taylor Amos, Alyssa C",WI23,BENG 187C - BENG Design Proj:Implemntation (A),88.9%,88.9%,5.61,N/A
"Wheeler, Bruce Christopher",WI23,BENG 187C - BENG Design Proj:Implemntation (A),88.9%,88.9%,5.61,N/A
"Lal, Ratnesh",WI23,BENG 191 - Senior Sem I: Professnl Issues (A),100.0%,100.0%,3.50,N/A
"Mc Culloch, Andrew Douglas",FA22,BENG 110 - Muskoloskeletal Biomechanics (A),81.3%,84.6%,6.48,B (3.16)
"Wheeler, Bruce Christopher",FA22,BENG 119A - Design Develop.in Biomechanics (A),100.0%,100.0%,4.50,A- (3.78)
"Cauwenberghs, Gert",FA22,BENG 122A - Biosystems and Control (A),80.0%,80.0%,8.60,B+ (3.53)
"Wheeler, Bruce Christopher",FA22,BENG 129A - Design Develp.Cell System BENG (A),100.0%,100.0%,4.50,N/A
"Smarr, Benjamin",FA22,BENG 134 - Measurements/Stats/Probability (A),94.4%,88.9%,6.50,B- (2.87)
"Wheeler, Bruce Christopher",FA22,BENG 135 - Biomedical Signals & Systems (A),100.0%,100.0%,7.70,B+ (3.63)
"Wheeler, Bruce Christopher",FA22,BENG 139A - Design Develpmt Molecular BENG (A),100.0%,100.0%,3.17,N/A
"Lal, Ratnesh",FA22,BENG 141 - Biomedical Optics and Imaging (A),94.1%,82.4%,4.56,A- (3.85)
"Fraley, Stephanie I.",FA22,BENG 161A - Bioreactor Engineering (A),75.0%,75.0%,9.48,B (3.04)
"Mali, Prashant Gulab Ram",FA22,BENG 162 - Biotechnology Laboratory (A),86.3%,94.1%,7.66,B+ (3.51)
"Sah, Robert Lie-Yuan",FA22,BENG 166A - Cell and Tissue Engineering (A),61.0%,75.6%,6.65,B+ (3.57)
"Wheeler, Bruce Christopher",FA22,BENG 169A - Design Developmnt Tissue Engin (A),66.7%,100.0%,3.83,N/A
"Wheeler, Bruce Christopher",FA22,BENG 179A - Design Develop.Bioinstrumntatn (A),100.0%,100.0%,10.00,B+ (3.67)
"Zhong, Sheng",FA22,BENG 183 - Applied Genomic Technologies (A),81.5%,84.6%,6.28,A (4.00)
"Wheeler, Bruce Christopher",FA22,BENG 187B - BENG Design Project:Developmnt (A),78.9%,91.9%,4.72,N/A
"Wheeler, Bruce Christopher",FA22,BENG 2 - Intro Computer Prog & MATLAB (A),100.0%,100.0%,4.94,N/A
"Mc Culloch, Andrew Douglas",FA22,BENG 87 - Freshman Seminar (A),100.0%,100.0%,0.86,N/A
"Omens, Jeffrey Howard",FA22,BENG 87 - Freshman Seminar (A),100.0%,100.0%,0.86,N/A
"Siuliukina, Nataliia",S122,BENG 100 - Intro to Prob & Stats for BENG (A),80.0%,60.0%,4.50,B+ (3.57)
"Alexandrov, Ludmil B",SP22,BENG 100 - Intro to Prob & Stats for BENG (A),47.4%,68.4%,6.55,B+ (3.65)
"Huang, Xiaohua",SP22,BENG 102 - Moleculr Components Living Sys (A),61.9%,57.1%,5.64,B+ (3.65)
"Fraley, Stephanie I.",SP22,BENG 103B - Bioengineering Mass Transfer (A),78.3%,83.8%,9.43,B (3.13)
"Shi, Lingyan",SP22,BENG 112B - Fluid and Cell Biomechanics (A),87.5%,93.8%,5.94,A- (3.74)
"Wheeler, Bruce Christopher",SP22,BENG 125 - Modeling & Computatio/Bioengr (A),61.4%,77.2%,6.89,B+ (3.52)
"Mali, Prashant Gulab Ram",SP22,BENG 133 - Numerical Analys-Computatn Eng (A),94.3%,100.0%,8.61,B+ (3.57)
"Cabrales, Pedro",SP22,BENG 140B - Bioengineering Physiology (A),90.6%,96.2%,5.71,B- (2.90)
"Zhang, Kun",SP22,BENG 160 - Chem & Molecular BENG Techniqs (A),82.1%,92.3%,6.61,B+ (3.59)
"Cabrales, Pedro",SP22,BENG 172 - Bioengineering Laboratory (A),80.0%,100.0%,8.50,B+ (3.45)
"Omens, Jeffrey Howard",SP22,BENG 172 - Bioengineering Laboratory (A),80.0%,100.0%,8.50,B+ (3.45)
"Bafna, Vineet",SP22,BENG 182 - Biological Databases (A),91.7%,100.0%,9.17,A- (3.71)
"Kwon, Ester Jihae",SP22,BENG 186A - Principles/Biomaterials Design (A),88.0%,91.0%,6.42,B (3.01)
"Wheeler, Bruce Christopher",SP22,BENG 187A - BENG Design Project: Planning (A),88.2%,98.7%,2.34,B (3.00)
"Wheeler, Bruce Christopher",SP22,BENG 187D - BENG Design Proj:Presentation (A),90.9%,90.9%,7.68,A- (3.95)
"Wheeler, Bruce Christopher",SP22,BENG 187D - BENG Design Proj:Presentation (B),88.2%,88.2%,5.21,A- (3.90)
"Wheeler, Bruce Christopher",SP22,BENG 187D - BENG Design Proj:Presentation (C),100.0%,100.0%,5.14,A- (3.91)
"Contijoch, Francisco",SP22,BENG 189 - Physiological Systems Eng (A),85.7%,100.0%,7.93,N/A
"Silva, Gabriel",SP22,BENG 189 - Physiological Systems Eng (A),85.7%,71.4%,7.93,N/A
"Engler, Adam J.",SP22,BENG 193 - Clinical Exp in Bioengineering (A),100.0%,100.0%,3.75,N/A
"Omens, Jeffrey Howard",SP22,BENG 87 - Freshman Seminar (A),100.0%,100.0%,1.17,N/A
"Sah, Robert Lie-Yuan",WI22,BENG 1 - Introduction to Bioengineering (A),86.5%,88.3%,2.84,N/A
"Valdez-Jasso, Daniela",WI22,BENG 112A - Soft Tissue Biomechanics (A),100.0%,100.0%,6.86,B (3.06)
"Wheeler, Bruce Christopher",WI22,BENG 119B - Design Implmntatn Biomechanics (A),80.0%,100.0%,9.70,N/A
"Huang, Xiaohua",WI22,BENG 120 - Org Chem-Structural & Design (A),78.6%,67.9%,5.24,B+ (3.44)
"Haiman, Zachary Brandon",WI22,BENG 123 - Dynamic Simulatn in Bioeng (A),75.0%,87.5%,10.25,B- (2.94)
"Wheeler, Bruce Christopher",WI22,BENG 126B - Design Implmnt Informatcs BENG (A),100.0%,100.0%,7.93,A- (3.88)
"Wheeler, Bruce Christopher",WI22,BENG 127B - Design Implmnt Molec.Syst BENG (A),100.0%,100.0%,6.50,N/A
"Subramaniam, Shankar",WI22,BENG 130 - Biotech Thermodynamics & Kinet (A),77.1%,83.3%,6.03,B (3.13)
"Silva, Gabriel",WI22,BENG 140A - Bioengineering Physiology (A),79.5%,71.8%,5.17,B+ (3.49)
"Wheeler, Bruce Christopher",WI22,BENG 152 - BioSystems Engineering Lab (A),100.0%,100.0%,9.70,A- (3.87)
"Huang, Xiaohua",WI22,BENG 161B - Biochemical Engineering (A),81.0%,85.7%,7.83,B (3.22)
"Wang, Yingxiao",WI22,BENG 168 - Biomolecular Engineering (A),80.0%,76.0%,8.10,B+ (3.59)
"Wheeler, Bruce Christopher",WI22,BENG 169B - Design Implmntatn Tissue Engin (A),100.0%,100.0%,5.30,A- (3.88)
"Wheeler, Bruce Christopher",WI22,BENG 179B - Design Implmnt Bioinstrumntatn (A),100.0%,83.3%,5.50,A- (3.85)
"Pevzner, Pavel Arkadjevich",WI22,BENG 181 - Molecular Sequence Analysis (A),93.3%,80.0%,15.97,N/A
"Cauwenberghs, Gert",WI22,BENG 186B - Princpls/Bioinstrumentatn Desn (A),90.3%,93.5%,8.63,B+ (3.62)
"Wheeler, Bruce Christopher",WI22,BENG 187C - BENG Design Proj:Implemntation (A),95.0%,97.5%,5.30,N/A
"Mc Culloch, Andrew Douglas",FA21,BENG 110 - Muskoloskeletal Biomechanics (A),80.7%,74.7%,7.13,B (3.12)
"Wheeler, Bruce Christopher",FA21,BENG 119A - Design Develop.in Biomechanics (A),100.0%,100.0%,4.50,N/A
"Cauwenberghs, Gert",FA21,BENG 122A - Biosystems and Control (A),93.3%,100.0%,8.17,B+ (3.70)
"Wheeler, Bruce Christopher",FA21,BENG 126A - Design Dev Bioinformatics BENG (A),83.3%,100.0%,4.50,A- (3.83)
"Wheeler, Bruce Christopher",FA21,BENG 129A - Design Develp.Cell System BENG (A),100.0%,100.0%,6.50,N/A
"Smarr, Benjamin",FA21,BENG 134 - Measurements/Stats/Probability (A),60.0%,75.0%,8.50,B (3.17)
"Wheeler, Bruce Christopher",FA21,BENG 135 - Biomedical Signals & Systems (A),87.5%,81.3%,7.63,N/A
"Lal, Ratnesh",FA21,BENG 141 - Biomedical Optics and Imaging (A),96.8%,90.3%,5.06,A- (3.92)
"Lewis, Nathan E",FA21,BENG 161A - Bioreactor Engineering (A),88.6%,100.0%,6.38,B+ (3.41)
"Mali, Prashant Gulab Ram",FA21,BENG 162 - Biotechnology Laboratory (A),79.6%,67.3%,7.97,B+ (3.36)
"Sah, Robert Lie-Yuan",FA21,BENG 166A - Cell and Tissue Engineering (A),66.7%,76.2%,5.33,A- (3.85)
"Wheeler, Bruce Christopher",FA21,BENG 169A - Design Developmnt Tissue Engin (A),100.0%,100.0%,5.17,A- (3.94)
"Wheeler, Bruce Christopher",FA21,BENG 179A - Design Develop.Bioinstrumntatn (A),100.0%,90.0%,6.70,A- (3.87)
"Benner, Christopher William",FA21,BENG 183 - Applied Genomic Technologies (A),92.6%,92.6%,5.83,A- (3.75)
"Wheeler, Bruce Christopher",FA21,BENG 187B - BENG Design Project:Developmnt (A),89.1%,93.3%,4.67,N/A
"Wheeler, Bruce Christopher",FA21,BENG 2 - Intro Computer Prog & MATLAB (A),100.0%,100.0%,6.04,B+ (3.40)
"Mc Culloch, Andrew Douglas",FA21,BENG 87 - Freshman Seminar (A),100.0%,100.0%,0.50,N/A
"Omens, Jeffrey Howard",FA21,BENG 87 - Freshman Seminar (A),100.0%,100.0%,0.50,N/A
"Alexandrov, Ludmil B",SP21,BENG 100 - Intro to Prob & Stats for BENG (A),81.8%,94.5%,6.25,B+ (3.53)
"Huang, Xiaohua",SP21,BENG 102 - Moleculr Components Living Sys (A),78.3%,69.6%,5.02,A- (3.83)
"Fraley, Stephanie I.",SP21,BENG 103B - Bioengineering Mass Transfer (A),56.7%,42.3%,10.70,B+ (3.49)
"Shi, Lingyan",SP21,BENG 112B - Fluid and Cell Biomechanics (A),100.0%,96.9%,6.81,A- (3.82)
"Contijoch, Francisco",SP21,BENG 125 - Modeling & Computatio/Bioengr (A),73.4%,87.0%,6.71,B+ (3.67)
"Coleman, Todd Prentice",SP21,BENG 130 - Biotech Thermodynamics & Kinet (A),66.7%,46.7%,7.57,A- (3.87)
"Mali, Prashant Gulab Ram",SP21,BENG 133 - Numerical Analys-Computatn Eng (A),90.0%,96.7%,7.81,B+ (3.61)
"Cabrales, Pedro",SP21,BENG 140B - Bioengineering Physiology (A),92.3%,92.3%,6.15,A- (3.78)
"Zhang, Kun",SP21,BENG 160 - Chem & Molecular BENG Techniqs (A),95.7%,87.0%,7.73,A- (3.98)
"Cabrales, Pedro",SP21,BENG 172 - Bioengineering Laboratory (A),83.3%,95.2%,10.26,A- (3.74)
"Omens, Jeffrey Howard",SP21,BENG 172 - Bioengineering Laboratory (A),83.3%,90.5%,10.26,A- (3.74)
"Bafna, Vineet",SP21,BENG 182 - Biological Databases (A),76.9%,84.6%,8.65,A- (3.80)
"Kwon, Ester Jihae",SP21,BENG 186A - Principles/Biomaterials Design (A),83.8%,86.7%,6.67,B (3.28)
"Wheeler, Bruce Christopher",SP21,BENG 187A - BENG Design Project: Planning (A),91.3%,97.1%,1.95,N/A
"Wheeler, Bruce Christopher",SP21,BENG 187D - BENG Design Proj:Presentation (A),100.0%,96.6%,4.43,A- (3.96)
"Wheeler, Bruce Christopher",SP21,BENG 187D - BENG Design Proj:Presentation (B),93.5%,93.5%,6.69,A- (3.99)
"Wheeler, Bruce Christopher",SP21,BENG 187D - BENG Design Proj:Presentation (C),94.4%,94.4%,5.24,A- (3.94)
"Contijoch, Francisco",SP21,BENG 189 - Physiological Systems Eng (A),94.1%,93.8%,11.44,N/A
"Engler, Adam J.",SP21,BENG 193 - Clinical Exp in Bioengineering (A),100.0%,100.0%,4.19,A (4.00)
"Engler, Adam J.",SP21,BENG 91 - Topics in Bioeng and Medicine (A),100.0%,100.0%,1.36,N/A
"Sah, Robert Lie-Yuan",WI21,BENG 1 - Introduction to Bioengineering (A),85.3%,90.1%,3.35,N/A
"Mc Culloch, Andrew Douglas",WI21,BENG 110 - Muskoloskeletal Biomechanics (A),66.7%,66.7%,8.17,B+ (3.62)
"Valdez-Jasso, Daniela",WI21,BENG 112A - Soft Tissue Biomechanics (A),100.0%,100.0%,6.50,N/A
"Valdez-Jasso, Daniela",WI21,BENG 112A - Soft Tissue Biomechanics (B),96.4%,100.0%,5.79,B+ (3.40)
"Huang, Xiaohua",WI21,BENG 120 - Org Chem-Structural & Design (A),83.3%,72.2%,4.83,A- (3.89)
"Palsson, Bernhard O.",WI21,BENG 123 - Dynamic Simulatn in Bioeng (A),43.3%,60.0%,13.50,B (3.27)
"Wheeler, Bruce Christopher",WI21,BENG 126B - Design Implmnt Informatcs BENG (A),75.0%,100.0%,6.50,A- (3.97)
"Wheeler, Bruce Christopher",WI21,BENG 127B - Design Implmnt Molec.Syst BENG (A),100.0%,100.0%,7.61,A- (3.92)
"Subramaniam, Shankar",WI21,BENG 130 - Biotech Thermodynamics & Kinet (A),81.1%,86.5%,7.07,B+ (3.52)
"Silva, Gabriel",WI21,BENG 140A - Bioengineering Physiology (A),77.4%,74.2%,6.69,B+ (3.55)
"Wheeler, Bruce Christopher",WI21,BENG 147B - Design Implmntatn Neural Engin (A),100.0%,100.0%,6.00,N/A
"Wheeler, Bruce Christopher",WI21,BENG 149B - Design Implmntn Vascular BENG (A),100.0%,100.0%,8.50,N/A
"Wheeler, Bruce Christopher",WI21,BENG 152 - BioSystems Engineering Lab (A),100.0%,100.0%,6.10,N/A
"Huang, Xiaohua",WI21,BENG 161B - Biochemical Engineering (A),82.6%,78.3%,7.11,A- (3.81)
"Wang, Yingxiao",WI21,BENG 168 - Biomolecular Engineering (A),83.3%,76.7%,6.63,A- (3.79)
"Wheeler, Bruce Christopher",WI21,BENG 169B - Design Implmntatn Tissue Engin (A),100.0%,100.0%,5.17,A- (3.95)
"Wheeler, Bruce Christopher",WI21,BENG 179B - Design Implmnt Bioinstrumntatn (A),87.5%,100.0%,3.75,A- (3.93)
"Pevzner, Pavel Arkadjevich",WI21,BENG 181 - Molecular Sequence Analysis (A),76.5%,62.5%,17.44,B+ (3.63)
"Cauwenberghs, Gert",WI21,BENG 186B - Princpls/Bioinstrumentatn Desn (A),93.3%,96.7%,9.77,A- (3.73)
"Wheeler, Bruce Christopher",WI21,BENG 187C - BENG Design Proj:Implemntation (A),86.8%,100.0%,4.24,N/A
"Zhong, Sheng",FA20,BENG 100 - Intro to Prob & Stats for BENG (A),91.7%,91.7%,4.17,B+ (3.69)
"Schmid-Schoenbein, Geert W",FA20,BENG 110 - Muskoloskeletal Biomechanics (A),75.0%,69.8%,6.64,B (3.13)
"Wheeler, Bruce Christopher",FA20,BENG 119A - Design Develop.in Biomechanics (A),100.0%,100.0%,1.50,A- (3.78)
"Cauwenberghs, Gert",FA20,BENG 122A - Biosystems and Control (B),71.4%,85.7%,9.21,B (3.27)
